epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.8753582000732422,0.37333333333333335,0.37333333333333335,1.0,0.5436893203883495,0.8720986843109131,0.375,0.375,1.0,0.5454545454545454
2,0.8730215430259705,0.37333333333333335,0.37333333333333335,1.0,0.5436893203883495,0.870884895324707,0.375,0.375,1.0,0.5454545454545454
3,0.8653210163116455,0.37333333333333335,0.37333333333333335,1.0,0.5436893203883495,0.8697245121002197,0.375,0.375,1.0,0.5454545454545454
4,0.8659650444984436,0.37333333333333335,0.37333333333333335,1.0,0.5436893203883495,0.8686277270317078,0.375,0.375,1.0,0.5454545454545454
5,0.8706483721733094,0.37333333333333335,0.37333333333333335,1.0,0.5436893203883495,0.8674156069755554,0.375,0.375,1.0,0.5454545454545454
6,0.8670177698135376,0.37333333333333335,0.3698630136986301,0.9642857142857143,0.5346534653465347,0.8669015765190125,0.375,0.375,1.0,0.5454545454545454
7,0.8681342601776123,0.4266666666666667,0.3880597014925373,0.9285714285714286,0.5473684210526316,0.8660688400268555,0.4375,0.4,1.0,0.5714285714285714
8,0.86766517162323,0.44,0.36,0.6428571428571429,0.46153846153846156,0.8651918172836304,0.625,0.5,1.0,0.6666666666666666
9,0.862633204460144,0.4266666666666667,0.3076923076923077,0.42857142857142855,0.3582089552238806,0.8644621968269348,0.5,0.42857142857142855,1.0,0.6
10,0.8688941955566406,0.4266666666666667,0.38095238095238093,0.8571428571428571,0.5274725274725275,0.8640487194061279,0.5,0.42857142857142855,1.0,0.6
11,0.8671573638916016,0.48,0.4067796610169492,0.8571428571428571,0.5517241379310345,0.8635343909263611,0.5625,0.46153846153846156,1.0,0.631578947368421
12,0.8612242460250854,0.5066666666666667,0.41509433962264153,0.7857142857142857,0.5432098765432098,0.8627652525901794,0.5625,0.46153846153846156,1.0,0.631578947368421
13,0.8634153723716735,0.49333333333333335,0.4074074074074074,0.7857142857142857,0.5365853658536586,0.8620938062667847,0.625,0.5,1.0,0.6666666666666666
14,0.8591852188110352,0.48,0.39215686274509803,0.7142857142857143,0.5063291139240507,0.8612791299819946,0.625,0.5,1.0,0.6666666666666666
15,0.861474335193634,0.5066666666666667,0.4117647058823529,0.75,0.5316455696202531,0.8601909875869751,0.625,0.5,1.0,0.6666666666666666
16,0.861104941368103,0.49333333333333335,0.38636363636363635,0.6071428571428571,0.4722222222222222,0.8591306209564209,0.625,0.5,1.0,0.6666666666666666
17,0.8547227621078491,0.6933333333333334,0.5862068965517241,0.6071428571428571,0.5964912280701754,0.8582791090011597,0.4375,0.2,0.16666666666666666,0.18181818181818182
18,0.8644475936889648,0.6266666666666667,0.5,0.42857142857142855,0.46153846153846156,0.8568727970123291,0.5625,0.0,0.0,0.0
